instruction_category,images,images_blip2_captions,instruction,reference_output,LlamaAdapter-v2 prediction
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/306_tested_skill_tour_guide_Cabazon_Dinosaurs.png""]","[""a statue of a t - rex in front of a palm tree""]",What are these people doing and what does it mean and what is it for?,,"The people in the image are standing in front of a large, white dinosaur statue, which is located in a park. They are posing for a picture, likely enjoying the unique and interesting sculpture. The presence of the dinosaur statue in the park suggests that it could be a tourist attraction, a public art installation, or a part of a themed park. The statue serves as a point of interest and a conversation starter for visitors, providing a unique and memorable experience."
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/17_tested_skill_gestures_understanding_0d2f8fae469b7c58.png""]","[""a person holding two small buttons in their hands""]",Which  hand gestures represent  pronouns in this picture?,,"In this picture, the hand gestures representing pronouns are the thumbs-up and the thumbs-down. The thumbs-up gesture represents the pronoun ""I,"" while the thumbs-down gesture represents the pronoun ""you."""
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/18_tested_skill_gestures_understanding_b7e133fbbda2fbb7.png""]","[""a blackboard on the wall""]","Are the people holding up their hands willing participants in an activity? If so, what's the activity and what type of music might accompany it?",,"Yes, the people holding up their hands are willing participants in an activity, and it appears to be a dance or a performance. The type of music accompanying the activity could be a mix of rock, pop, or other genres that are typically associated with energetic and fun dance moves. The presence of a guitar in the image suggests that the music might be accompanied by live instrumentation, which could add to the overall atmosphere and excitement of the event."
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/19_tested_skill_gestures_understanding_bf9c1ddbe87e34a0.png""]","[""a red traffic light hanging from a wire""]",If a car is stopped at this traffic light how many directions can it potentially go when the light turns green?,,"If a car is stopped at this traffic light, it can potentially go in any of the four directions indicated by the red and green arrows. The red arrow indicates that the car should not proceed, while the green arrow indicates that the car is allowed to move forward."
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/264_tested_skill_fashion_products_Wedding_rings.png""]","[""two wedding rings sitting on top of an open bible""]",What has caused this building to look like this and what was it built for?,,"The building in the image has a unique appearance due to the presence of a large number of books stacked on top of it. This unusual sight is caused by the books being used as a form of temporary or semi-permanent shoring for the building. The books are placed on top of the building to provide support and stability while the building undergoes repairs, renovations, or construction. The building was likely built for a specific purpose, such as a library, school, or office space, and the books are being used as a temporary measure to ensure the safety and stability of the structure during the ongoing work."
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/21_tested_skill_architectural_styles_0b11ea351b4693a0.png""]","[""a row of red telephone booths on a street in london""]",Tell me where I can find that telephone boxes and the story behind it.,,"The telephone boxes in the image are located in London, England. They are a part of the city's history and culture, and they have been a prominent feature in the city's landscape for many years. The red telephone boxes, also known as ""K2"" boxes, were designed by Sir Giles Gilbert Scott and introduced in 1926. They were originally intended to provide a public telephone service for the city's residents and visitors. The red color was chosen to make them easily recognizable and to stand out against the city's brick buildings.Over time, the telephone boxes have become a symbol of London and have been featured in various movies, TV shows, and books. They have also been used as a backdrop for various events and celebrations, such as the London Marathon, where they are often seen lining the streets. The red telephone boxes have become a part of the city's identity and have been preserved as a historical landmark."
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/22_tested_skill_architectural_styles_ae7db425aeb3eb70.png""]","[""the pagoda is red""]",What is this structure called and why does it have tiers?,,"The structure is called a pagoda, and it has tiers because it is a traditional Chinese building with multiple levels. Pagodas are typically built with multiple stories, each with a different purpose or function. The tiers can be used for various purposes, such as housing religious artifacts, serving as a place for meditation, or providing a vantage point for viewing the surrounding landscape. The tiers also help to create a sense of verticality and grandeur, which is characteristic of pagodas."
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/23_tested_skill_architectural_styles_81ec76d8803148c8.png""]","[""a tree house in the middle of a wooded area""]",What type of structure is this and what is it usually used for and who uses it?,,"This is a tree house, which is a structure built in or around a tree, typically for recreational purposes or as a play area for children. Tree houses can be found in various forms, such as simple platforms or more elaborate structures with multiple levels, stairs, and windows. They are often built by children or enthusiasts as a way to enjoy the outdoors and connect with nature. Tree houses can also be used for camping, picnics, or as a hideout for games or imaginative play."
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/24_tested_skill_architectural_styles_bb85d007bf5dd116.png""]","[""a blue bird house with a rusty roof""]",What type of structure is this and what is it used for and what lives in it?,,"This is a birdhouse, which is a structure designed to provide shelter and nesting space for birds. It is typically made of wood, and it can be found in various sizes and shapes, depending on the species of birds it is intended to accommodate. Birdhouses are often placed in trees or on poles, providing a safe and secure environment for birds to raise their young. The birdhouse in the image is made of wood and has a blue and rusty color, which may attract certain species of birds. It is not uncommon for birds to build their own nests in birdhouses, but it is also possible that the birdhouse is already occupied by a resident bird."
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/25_tested_skill_architectural_styles_81de7fb54777db79.png""]","[""a black and white photo of a spiral staircase""]",Would someone with mobility issues appreciate this style of architecture?  Would it be easy to carry an armload of groceries to the top of this building?,,"Yes, someone with mobility issues would likely appreciate the style of architecture in this image, as it features a spiral staircase with a circular design. This type of staircase is often found in historical buildings, such as castles or cathedrals, and can provide easier access for people with mobility issues, as they can navigate the stairs without having to climb multiple flights of stairs. Additionally, the spiral design allows for a smooth and continuous climb, making it easier for people with mobility issues to navigate the stairs.However, it is important to note that the spiral staircase in this image is located in a building, which may not be accessible to everyone. The building's location, design, and accessibility features should be considered when assessing whether someone with mobility issues would appreciate this style of architecture."
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/26_tested_skill_architectural_styles_88e824b0fc24aa99.png""]","[""an old wooden shack with a rusty roof""]",Would this house sell quickly in a buyer's market? What's the first thing the new owner might replace?,,"In a buyer's market, the old wooden house with a tin roof and a dirt floor might sell quickly, as it is a unique and potentially charming property. The first thing the new owner might replace is the dirt floor, as it is not a desirable feature in a modern home. They might also consider upgrading the roof to a more durable and weather-resistant material, such as metal or asphalt shingles, to protect the house from the elements and increase its longevity. Additionally, the new owner might consider renovating the interior to modernize the space and make it more comfortable and functional for their needs."
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/27_tested_skill_architectural_styles_04e69733fd83aa83.png""]","[""a large stone house with a red roof""]",Identify the materials used for building the facade of this house?,,The facade of this house is made of brick and stone.
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/28_tested_skill_architectural_styles_455e19188782ba38.png""]","[""a gingerbread house is decorated with candy canes""]",What is this house made of and when would you see these?,,"The house is made of gingerbread, which is a type of sweet, spiced dough that is often used to make decorative and edible structures. These houses are typically seen during the holiday season, especially around Christmas time, when they are often displayed in homes, businesses, and public spaces."
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/29_tested_skill_architectural_styles_70566da620c041b8.png""]","[""a small hut with a thatched roof""]",What is this house made out of? Is it still livable?,,"The house is made out of straw, which is a natural and sustainable building material. However, it is not currently inhabited, as it is abandoned and in a state of disrepair."
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/278_tested_skill_who_to_call_Neck_pain.png""]","[""illustration of a man with a back pain""]",Create a slogan for the tags on the hummer focusing on the meaning of the word.,,"A slogan for the tags on the hummer could be ""Pain Relief for the Back,"" as the hummer is designed to provide relief for back pain."
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/31_tested_skill_catchy_titles_3e86e2b7dd1d3238.png""]","[""a dachshund wearing a tiger print outfit""]",Create a catchy title for the picture that describes the type of outing that this dog is dressed up for.,,"The catchy title for the picture could be ""Doggy Zebra Costume: A Fun Outing for the Dachshund."" This title captures the essence of the image, which features a cute dachshund dressed up in a zebra costume, and suggests that the outing is likely to be a fun and unique experience for both the dog and its owner."
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/32_tested_skill_catchy_titles_8c83e9d82dc46a57.png""]","[""a notebook and a pencil on a desk""]",What do these two items have in common with each other?,,"The two items, a notebook and a yellow highlighter, have a common purpose of being used for note-taking, writing, or highlighting important information. The notebook is a traditional writing tool, while the yellow highlighter is a more modern accessory that can be used to mark or emphasize specific passages or sections within the notebook. Both items are designed to help users organize, record, and reference information, making them a useful combination for students, professionals, or anyone who needs to take notes or highlight important details."
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/33_tested_skill_catchy_titles_24c05bcad9859e09.png""]","[""the new ford v3 cars for 1937""]","Using the phrase in this image, what would need to be changed with it and the central object, to modernize both and reference electric propulsion?",,"To modernize both the phrase ""The New Ford V-8 for 1939"" and the central object, a Ford car, in the image, we would need to change the phrase to ""The New Ford EV for 1939"" and the central object to a modern electric car. This would reflect the current trend towards electric propulsion and align with the current state of the automotive industry."
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/34_tested_skill_catchy_titles_13866ce6e38acc87.png""]","[""gotta go portable toilets""]",Write a logo based off the name of the company and what they provide.,,"The logo for the company ""Gotta Go Portable Services"" could be designed using the company's name in a bold, easy-to-read font. The logo could also incorporate the image of a portable toilet, as seen in the image, to represent the company's services. The logo could be designed in a simple and clean manner, with a focus on the company's name and the portable toilet image."
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/35_tested_skill_catchy_titles_3b3f0b25d84ca601.png""]","[""a bunch of green bananas hanging from a tree""]",Create a catchy slogan using the color of this fruit. The slogan should be related to climate change.,,"A catchy slogan for the green bananas could be ""Going Green to Save the Planet,"" emphasizing the importance of reducing carbon emissions and promoting sustainable practices to combat climate change."
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/36_tested_skill_catchy_titles_dc41e989848d4912.png""]","[""a red door with a sign that says just married""]",Can you come up with a slogan that contains a slight innuendo about why someone shouldn't open this door without knocking first?,,"A slogan that contains a slight innuendo about why someone shouldn't open this door without knocking first could be ""Don't open the door without knocking, or you might get a surprise!"" This playful phrase suggests that opening the door without knocking might lead to an unexpected or unpleasant situation, such as finding a surprise engagement party or a romantic proposal. The slogan also hints at the importance of knocking before entering a room, as it is a polite and respectful gesture that helps maintain privacy and avoid unwanted surprises."
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/37_tested_skill_catchy_titles_d154f45b6a6c346c.png""]","[""a white jeep""]",Create a catchy title for a country song based upon the advice printed on the wheel cover.,,"The catchy title for a country song based on the advice printed on the wheel cover could be ""Tan in Love Never Fall in Return."""
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/38_tested_skill_catchy_titles_c09363ce061961a0.png""]","[""a shelf full of cans with the words'insert calmers'on them""]","Come up with a short, catchy ad title for the two products displayed in the cabinet.",,"The ad title for the two products displayed in the cabinet could be ""Stress Killers"" and ""Inn Calm."" These titles are catchy and reflect the purpose of the products, which are designed to help people relax and reduce stress."
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/309_tested_skill_tour_guide_800px-Stanley_Hotel.png""]","[""a large white mansion with a clock tower on the front""]",Create a catchy logo for this tiger focusing on its color and sharp teeth.,,"The tiger's colorful stripes and sharp teeth are the main features of the logo. The tiger's stripes can be used to create a unique and eye-catching design. The sharp teeth can be incorporated into the logo to emphasize the tiger's fierce and powerful nature. The logo can be designed in various styles, such as a simple and clean font, a more detailed illustration, or a combination of both. The logo should be easily recognizable and memorable, capturing the essence of the tiger's beauty and strength."
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/40_tested_skill_climate_and_weather_understanding_0b4939d8914cc8b5.png""]","[""a close up image of a dry, cracked surface""]",What is the temperature of the place in the image? Can you grow an apple tree there?,,"The image shows a dry, cracked, and barren landscape, which suggests that the temperature in the area is likely very hot and arid. The soil is cracked and dry, which makes it difficult for plants to grow and survive. In such conditions, it is unlikely that an apple tree could thrive and grow in this environment."
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/41_tested_skill_climate_and_weather_understanding_1da35ffdf63ced85.png""]","[""a man walking in the rain with an umbrella""]",What is happening to cause the person to be using that item over their head and what causes it to happen?,,"The person is using the umbrella over their head to protect themselves from the rain. The rain is falling, and the umbrella is being used to shield the person from getting wet. The umbrella is essential in such situations, as it helps to keep the person dry and comfortable during rainy weather."
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/42_tested_skill_climate_and_weather_understanding_1a871fb82e587d02.png""]","[""a field of ripe wheat with a blue sky in the background""]",What kind of weather would have been ideal for this crop throughout its growing season.,,"Ideal weather conditions for the growth of this crop would have been consistent and moderate temperatures, with adequate rainfall or irrigation to maintain moisture levels in the soil. The presence of a blue sky in the image suggests that the weather was likely favorable for the growth of the wheat, as clear skies often indicate good air circulation and sunlight, which are essential for photosynthesis. Additionally, the absence of any clouds or storms in the image suggests that the weather was calm and suitable for the wheat to thrive."
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/276_tested_skill_who_to_call_Japanese_car_accident.png""]","[""a man and woman are standing in front of a car accident""]",What has happened in the climate to cause the leaves to not be solid green anymore?,,"The leaves in the image are not solid green anymore because they have fallen off the trees, indicating that it is autumn or late fall. This season is characterized by the leaves changing colors and falling off the trees, which is a natural process in the life cycle of plants."
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/44_tested_skill_climate_and_weather_understanding_7fd2932dced26fdc.png""]","[""a solar panel on a pole in front of a palm tree""]",How can the weather help the main item in the picture?,,"The weather can help the main item in the picture, a solar panel, by providing sunlight. Solar panels convert sunlight into electricity, which can be used to power various devices, such as lights, appliances, or even entire homes. The presence of sunlight is crucial for the solar panel to generate electricity efficiently. In the image, the sun is shining, which means the solar panel is receiving the necessary energy to function properly. The sunlight also helps to keep the solar panel cool, as it can help dissipate heat generated by the solar cells. Overall, the weather plays a significant role in the performance and functionality of the solar panel."
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/45_tested_skill_climate_and_weather_understanding_0e0064d043ff58a3.png""]","[""a group of birds sitting on a tree in the snow""]",Is it safe for the kids to play outside in this kind of weather?,,"Yes, it is safe for the kids to play outside in this kind of weather, as long as they are properly dressed and prepared for the cold and snowy conditions. Wearing warm clothing, such as layers, gloves, hats, and waterproof outerwear, will help protect them from the cold and snow. Additionally, they should be aware of the potential hazards of slippery surfaces and icy conditions, and take extra caution while playing or walking outside. It is also important to ensure that they stay hydrated and have access to warm, dry shelter if they need to take a break from playing outside."
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/46_tested_skill_climate_and_weather_understanding_0a1adba5f703ccdb.png""]","[""cracked sand on the shore of a body of water""]",What causes the ground to do this and what can make it look normal?,,"The ground in the image appears cracked and dry, with some areas covered in mud. This is a result of the drying out of the soil, which can be caused by several factors, such as drought, over-irrigation, or soil compaction. When the soil dries out, it loses its moisture content and becomes more susceptible to cracking and breaking apart. The muddy areas in the image are likely the result of water seeping into the cracks, which can happen when the soil is dry and the ground is unable to absorb water. To make the ground look normal, it would need to be rehydrated through rainfall or irrigation, which would help restore the soil's moisture content and prevent further cracking and erosion."
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/334_tested_skill_building_materials_800px-Arba_domo_en_la_parko_de_la_Chateau.png""]","[""a wooden tree house with stairs and ladders""]",How likely is it to snow after this picture was taken? What would change with this type of tree before it's likely to snow?,,"It is unlikely that it will snow after this picture was taken, as the tree is in full bloom and the weather is sunny. However, if the tree were to be in a different season, such as autumn or winter, it would be more likely to snow. In these seasons, the tree would have lost its leaves, and the weather would be colder, which would be more conducive to snowfall."
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/48_tested_skill_climate_and_weather_understanding_2ff8b20aa4ae2a3c.png""]","[""a black and white photo of smoke coming out of a chimney""]",What effect does this activity have on the climate as a whole?,,"The smoke coming out of the smokestack of the power plant has a significant impact on the climate as a whole. The smoke contains various pollutants, such as carbon dioxide, sulfur dioxide, and nitrogen oxides, which contribute to air pollution and greenhouse gas emissions. These pollutants can lead to various negative effects on the environment, including global warming, acid rain, and smog formation. The release of these pollutants can also have adverse health effects on humans and other living organisms, as they can cause respiratory problems, cardiovascular diseases, and other health issues. To mitigate these effects, governments and organizations have implemented various regulations and policies to reduce air pollution and greenhouse gas emissions from power plants and other industrial sources."
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/49_tested_skill_climate_and_weather_understanding_66e2a7c45607869e.png""]","[""a thermometer with a c and a f on it""]",Would snow be possible in this area if the temperature remains the same?,,"Yes, it is possible for snow to fall in this area if the temperature remains the same. Snow typically forms when the temperature is below freezing, and the presence of snow on the ground in the image suggests that the temperature is cold enough for snow to accumulate. However, it is important to note that snowfall is not guaranteed, as other factors such as wind, humidity, and precipitation patterns can also influence the likelihood of snowfall in a particular location."
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/50_tested_skill_color_8ec6911aaa29e302.png""]","[""green m&m's with a red m&m in the middle""]",What holiday would this pile of candy be most appropriate for?  What if the one piece that is unlike the others were removed?,,"The pile of candy, consisting of green and red candies, would be most appropriate for a holiday such as Halloween or Christmas. The green candies represent the traditional Halloween colors, while the red candies could be associated with Christmas. If the one piece that is unlike the others were removed, it would be difficult to determine the exact holiday the pile of candy is associated with. However, it could still be used for a festive occasion or celebration, as the remaining candies would still create a visually appealing and colorful display."
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/51_tested_skill_color_0a4cc0845852de96.png""]","[""a row of kettlebells in different colors on a shelf""]",What are the colors on the second row but backwards?,,"The colors on the second row are backwards, meaning they are arranged in a different order than the first row."
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/52_tested_skill_color_43b4a798d0e2edb5.png""]","[""five crayons are lined up on a white surface""]",Will all of these crayon colors be visible if you use them to write on a white piece of paper?,,"Yes, all of the crayon colors will be visible if you use them to write on a white piece of paper. The crayons are arranged in a row, and each color is distinct, making it easy to distinguish between them."
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/53_tested_skill_color_5a639b9ea7739f07.png""]","[""a red bowl filled with a variety of vegetables""]",Starting with the tomato on a vine list the colors of the vegetables touching the side of the bowl.,,"The image shows a bowl filled with various vegetables, including tomatoes, peppers, and carrots. The tomato on a vine is placed on the left side of the bowl, while the peppers and carrots are scattered around the bowl. The bowl is sitting on a wooden surface, adding a rustic touch to the scene."
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/54_tested_skill_color_0fc5e500a2beaf26.png""]","[""a pile of colorful m & m's candy""]",How colors are there if I eat half of them?,,"If you eat half of the M&Ms, there would be a mixture of colors left in the bowl. The remaining colors would be red, orange, yellow, green, blue, and brown."
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/55_tested_skill_color_9acd06ce7318a4d5.png""]","[""a spoon full of colorful candies""]",There is one color of candy in the bowl that is missing from the spoon.  Which color is not represented in the spoon full of candies?,,The color of candy that is not represented in the spoon full of candies is green.
