instruction_category,images,images_blip2_captions,instruction,reference_output
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/28_tested_skill_architectural_styles_455e19188782ba38.png""]","[""a gingerbread house is decorated with candy canes""]",What is this house made of and when would you see these?,
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/29_tested_skill_architectural_styles_70566da620c041b8.png""]","[""a small hut with a thatched roof""]",What is this house made out of? Is it still livable?,
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/278_tested_skill_who_to_call_Neck_pain.png""]","[""illustration of a man with a back pain""]",Create a slogan for the tags on the hummer focusing on the meaning of the word.,
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/31_tested_skill_catchy_titles_3e86e2b7dd1d3238.png""]","[""a dachshund wearing a tiger print outfit""]",Create a catchy title for the picture that describes the type of outing that this dog is dressed up for.,
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/32_tested_skill_catchy_titles_8c83e9d82dc46a57.png""]","[""a notebook and a pencil on a desk""]",What do these two items have in common with each other?,
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/33_tested_skill_catchy_titles_24c05bcad9859e09.png""]","[""the new ford v3 cars for 1937""]","Using the phrase in this image, what would need to be changed with it and the central object, to modernize both and reference electric propulsion?",
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/34_tested_skill_catchy_titles_13866ce6e38acc87.png""]","[""gotta go portable toilets""]",Write a logo based off the name of the company and what they provide.,
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/35_tested_skill_catchy_titles_3b3f0b25d84ca601.png""]","[""a bunch of green bananas hanging from a tree""]",Create a catchy slogan using the color of this fruit. The slogan should be related to climate change.,
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/36_tested_skill_catchy_titles_dc41e989848d4912.png""]","[""a red door with a sign that says just married""]",Can you come up with a slogan that contains a slight innuendo about why someone shouldn't open this door without knocking first?,
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/37_tested_skill_catchy_titles_d154f45b6a6c346c.png""]","[""a white jeep""]",Create a catchy title for a country song based upon the advice printed on the wheel cover.,
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/38_tested_skill_catchy_titles_c09363ce061961a0.png""]","[""a shelf full of cans with the words'insert calmers'on them""]","Come up with a short, catchy ad title for the two products displayed in the cabinet.",
Catchy Titles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/309_tested_skill_tour_guide_800px-Stanley_Hotel.png""]","[""a large white mansion with a clock tower on the front""]",Create a catchy logo for this tiger focusing on its color and sharp teeth.,
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/40_tested_skill_climate_and_weather_understanding_0b4939d8914cc8b5.png""]","[""a close up image of a dry, cracked surface""]",What is the temperature of the place in the image? Can you grow an apple tree there?,
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/41_tested_skill_climate_and_weather_understanding_1da35ffdf63ced85.png""]","[""a man walking in the rain with an umbrella""]",What is happening to cause the person to be using that item over their head and what causes it to happen?,
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/42_tested_skill_climate_and_weather_understanding_1a871fb82e587d02.png""]","[""a field of ripe wheat with a blue sky in the background""]",What kind of weather would have been ideal for this crop throughout its growing season.,
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/276_tested_skill_who_to_call_Japanese_car_accident.png""]","[""a man and woman are standing in front of a car accident""]",What has happened in the climate to cause the leaves to not be solid green anymore?,
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/44_tested_skill_climate_and_weather_understanding_7fd2932dced26fdc.png""]","[""a solar panel on a pole in front of a palm tree""]",How can the weather help the main item in the picture?,
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/45_tested_skill_climate_and_weather_understanding_0e0064d043ff58a3.png""]","[""a group of birds sitting on a tree in the snow""]",Is it safe for the kids to play outside in this kind of weather?,
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/46_tested_skill_climate_and_weather_understanding_0a1adba5f703ccdb.png""]","[""cracked sand on the shore of a body of water""]",What causes the ground to do this and what can make it look normal?,
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/334_tested_skill_building_materials_800px-Arba_domo_en_la_parko_de_la_Chateau.png""]","[""a wooden tree house with stairs and ladders""]",How likely is it to snow after this picture was taken? What would change with this type of tree before it's likely to snow?,
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/48_tested_skill_climate_and_weather_understanding_2ff8b20aa4ae2a3c.png""]","[""a black and white photo of smoke coming out of a chimney""]",What effect does this activity have on the climate as a whole?,
Climate and Weather understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/49_tested_skill_climate_and_weather_understanding_66e2a7c45607869e.png""]","[""a thermometer with a c and a f on it""]",Would snow be possible in this area if the temperature remains the same?,
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/50_tested_skill_color_8ec6911aaa29e302.png""]","[""green m&m's with a red m&m in the middle""]",What holiday would this pile of candy be most appropriate for?  What if the one piece that is unlike the others were removed?,
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/51_tested_skill_color_0a4cc0845852de96.png""]","[""a row of kettlebells in different colors on a shelf""]",What are the colors on the second row but backwards?,
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/52_tested_skill_color_43b4a798d0e2edb5.png""]","[""five crayons are lined up on a white surface""]",Will all of these crayon colors be visible if you use them to write on a white piece of paper?,
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/53_tested_skill_color_5a639b9ea7739f07.png""]","[""a red bowl filled with a variety of vegetables""]",Starting with the tomato on a vine list the colors of the vegetables touching the side of the bowl.,
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/54_tested_skill_color_0fc5e500a2beaf26.png""]","[""a pile of colorful m & m's candy""]",How colors are there if I eat half of them?,
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/55_tested_skill_color_9acd06ce7318a4d5.png""]","[""a spoon full of colorful candies""]",There is one color of candy in the bowl that is missing from the spoon.  Which color is not represented in the spoon full of candies?,
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/56_tested_skill_color_54183bb642b042a6.png""]","[""a close up of a colorful quilted blanket""]",What is every other color starting from the bottom right?,
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/57_tested_skill_color_5d48a2abd2561be8.png""]","[""a woman holding a tennis racket""]",How would you describe  the hair color of this person? Did she inherit this hair color?,
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/58_tested_skill_color_71ed8dbc21df3800.png""]","[""a set of numbers in different colors on a white background""]",What color can you get if you mix no. 3 and no 4?,
Color,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/59_tested_skill_color_a96c1ba8720a09d5.png""]","[""a box of colored pastels on a blue background""]",What is every fifth color starting from the bottom of the middle section?,
Counting,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/60_tested_skill_counting_c34a6cfbdf194dab.png""]","[""a drawing of a spiral with the words gn 13""]",If this were a cross section of a tree how old would the tree be?,
Counting,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/61_tested_skill_counting_48d5edff16731ac4.png""]","[""a wall of clocks""]","How many total clock hands, including the hands for seconds and minutes, are on these clocks combined?",
Counting,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/62_tested_skill_counting_522e6e0a2e48ec89.png""]","[""m & m's in the shape of a heart""]",How many is there if I eat only the red and half of the white ones?,
Counting,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/270_tested_skill_who_to_call_Azerbaijan_State.png""]","[""an ornate building on a cloudy day""]","How many of each color is shown here, counting from most to least, and which particularly regal color doesn't appear to be represented at all?",
Counting,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/64_tested_skill_counting_1d07be9ffd5bffbf.png""]","[""a person holding a rubik's cube in their hand""]",How many squares would be on this complete cube?,
Counting,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/65_tested_skill_counting_befa7a8cf5355eb0.png""]","[""a man standing in front of some dice on a wooden table""]",Can you count all the dots on the white dice shown in the image?,
Counting,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/66_tested_skill_counting_2dc43de206cbc18d.png""]","[""m & m's candy on a white surface""]","Give me an accurate estimate for the total amount of green, yellow, and orange candies scattered on the white surface.",
Counting,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/67_tested_skill_counting_5b57369128f6bd43.png""]","[""a pile of colorful dice on a black surface""]",How many of the white dice have a 4 or higher showing?,
Counting,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/68_tested_skill_counting_15818c44ec117ed6.png""]","[""a man standing next to a pile of watermelons""]",Approximately how many of the uncut watermelons are not touching the sidewalk?,
Counting,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/69_tested_skill_counting_e3e53794978e72bd.png.png""]","[""a number of buttons on an elevator control panel""]",What is the sum of the top and bottom number shown in the image?,
Directions,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/70_tested_skill_directions_d4aef720bae8a1fb.png""]","[""a car driving down a highway with a sign in front of it""]",What should the red car do if the destination is Williamsport?,
Directions,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/71_tested_skill_directions_ca884ea220855898.png""]","[""a car with a gps navigation system""]","If one continues to travel in the current direction shown on the display, what U.S. state would they inevitably end up arriving in?",
Directions,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/72_tested_skill_directions_e4eb40e15902bd34.png""]","[""a maze with a yellow arrow in the middle""]",How do I reach the top left side instead of the bottom left side.,
Directions,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/73_tested_skill_directions_806c3c248b3a4cdc.png""]","[""a pole with a lot of different signs on it""]",How many places will I go through before I reach Ischia based off the sign?,
Directions,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/74_tested_skill_directions_7e42b6deffe9f0ad.png""]","[""a globe on a wooden table""]",How many of the countries shown on the globe have a coast on the Arabian Sea?,
Directions,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/75_tested_skill_directions_afb9c4929fd78652.png""]","[""a stop sign on a pole""]",What do you need to do before you turn right on Kennett Pike from Pyles Ford Rd?,
Directions,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/76_tested_skill_directions_1ef1b0acc948e841.png""]","[""a wooden sign on a trail in the woods""]","Based on how many features are on a given path, in which direction is the road less traveled?",
Directions,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/77_tested_skill_directions_e82aa028c125d614.png""]","[""an image of a maze in the middle of a field""]",Which of the three people in the maze is likely to find an exit first?,
Directions,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/78_tested_skill_directions_39dffad841d0ca8b.png""]","[""mercedes-benz sl-class gps navigation system""]",What route takes me from the bottom of the screen to the top of the screen the quickest?,
Directions,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/79_tested_skill_directions_46faa5ff401a8108.png""]","[""white clouds in the sky""]","If you don't want to arrive at Tunis, which way do you need to go, and where will you end up?",
Human Emotion Recognition,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/80_tested_skill_human_emotion_recognition_0902910f55889132.png""]","[""a woman wearing a green tank top""]","Is the woman sleeping? If not, what is she doing?",
Human Emotion Recognition,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/81_tested_skill_human_emotion_recognition_a8f036f16bd810d6.png""]","[""a woman in a shower with her hands in the water""]","Is the boy scared of getting wet? If not, what is he feeling? Why is he holding his hands in the position they're in?",
Human Emotion Recognition,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/82_tested_skill_human_emotion_recognition_fc26eb60bc4ab442.png""]","[""a woman kissing another woman""]",How does the girl on top know that the girl on the bottom approves of the situation?,
Human Emotion Recognition,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/83_tested_skill_human_emotion_recognition_e98703889080e4bc.png""]","[""a family taking a photo with a cell phone""]","If I am in the group, what kind of emotion will I show?",
Human Emotion Recognition,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/84_tested_skill_human_emotion_recognition_f6c9496247193a46.png""]","[""two computer monitors with a man and woman on them""]",What are they feeling based on their pose? Are their feelings connected with each other?,
Human Emotion Recognition,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/85_tested_skill_human_emotion_recognition_ca8dc5df1746aade.png""]","[""a man kissing a woman on the street""]",Does it seem likely that these two people are in a relationship?  What makes you believe that?,
Human Emotion Recognition,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/86_tested_skill_human_emotion_recognition_452b3f9854d5bf30.png""]","[""a man sitting in a car holding his hand to his mouth""]",Why does the man cover his mouth? Is it safe to feel that way while doing the activity?,
Human Emotion Recognition,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/87_tested_skill_human_emotion_recognition_8ab6ca086561ded2.png""]","[""a woman smiling while holding a cell phone""]",What has caused her nose to be like that?,
Human Emotion Recognition,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/88_tested_skill_human_emotion_recognition_6dfa8aa7070600a3.png""]","[""a group of people holding hands in a circle""]",What is he doing? What kind of message is he trying to convey?,
Human Emotion Recognition,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/89_tested_skill_human_emotion_recognition_989bc3d84680164e.png""]","[""a man and woman embracing during their engagement session""]",Why are they looking at each other like that and what does it mean?,
Animals,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/90_tested_skill_animals_cfb0fd731ddb2216.png""]","[""a black and white cat reaching for a twig""]",Is this a polydactyl cat?  How do you know?,
Animals,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/91_tested_skill_animals_6323887862f0e802.png""]","[""a sculpture of a dog made out of gears""]",What breed of dog does the sculpture most resemble?  What key features of the sculpture make you think so?,
Animals,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/92_tested_skill_animals_b56b81d14c2a5a3b.png""]","[""a group of kangaroos""]",What can this animal do that almost no other one can?,
Animals,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/93_tested_skill_animals_553d02dd485cf376.png""]","[""a small animal with its mouth open in mud""]",What animal is in the image? Can people keep it as a pet?,
Animals,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/94_tested_skill_animals_84f632e6ab660fac.png""]","[""doberman pinscher and french bulldog""]","Based on the image, which dog breed is the best for guarding?",
Animals,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/95_tested_skill_animals_1b4d76e500bea217.png""]","[""a group of meerkats standing next to each other""]",In what part of the world would you normally find these animals?  How large are their social groups in the wild?,
Animals,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/96_tested_skill_animals_425e7bed803e780c.png""]","[""a person standing next to a dog on a sidewalk""]",What kind of animal is this?  Is this animal always black and white or does it have other coat colors?,
Animals,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/97_tested_skill_animals_8903c4f2afab97ac.png""]","[""a man riding a scooter with a dog on his back""]",What would happen if the human is not present in the image?,
Animals,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/98_tested_skill_animals_837a4332cfad3955.png""]","[""two giraffes in a zoo""]",Are those animals in their natural habitat? Can you explain why?,
Animals,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/99_tested_skill_animals_55e132adad8618c8.png""]","[""two brown dogs standing on a rock""]",Do these appear to be domesticated dogs or are they wild.  What is the name of this breed?,
Astronomy,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/100_tested_skill_astronomy_6ec6f9c9fab0d0de.png""]","[""a night sky with stars and trees in the foreground""]",What are the bright little specks and what causes them to be bright?,
Astronomy,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/101_tested_skill_astronomy_8dbeb36cce2387f8.png""]","[""a blood moon is seen during a lunar eclipse""]",What has caused the red color and what does it mean?,
Astronomy,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/102_tested_skill_astronomy_1b42a9ecb66dd9c7.png""]","[""a dark cloudy sky with buildings in the foreground""]",What causes the sky to look like that and why does it look bright?,
Astronomy,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/103_tested_skill_astronomy_c3ca80e731f9a7bf.png""]","[""a cup of coffee with an image of saturn on it""]",How is this created and what is it created with?,
Astronomy,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/104_tested_skill_astronomy_97ea4e24260a5913.png""]","[""an artist's rendering of a cluster of galaxies""]","What is this, what is it made of, and why is it bright?",
Astronomy,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/271_tested_skill_who_to_call_33190992854_b6dd9e31cd_m.png""]","[""a woman sitting in a car smoking a cigarette""]","Why does it look like that, what causes the bright dots, what causes the red hue?",
Astronomy,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/106_tested_skill_astronomy_1b02187c0fa53257.png""]","[""the milky is seen in the sky above a rocky cliff""]",What is happening and what causes it to happen and where do happen?,
Astronomy,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/300_tested_skill_tour_guide_800px-Faraglioni_capri_italy.png""]","[""capri, italy - capri, italy, capri, italy, capri, italy, ca""]",What force holds this object in this position? What is the minimum speed it must be traveling at?,
Astronomy,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/108_tested_skill_astronomy_16ff653d319a891d.png""]","[""a man looking at a camera on a tripod""]",How does this person account for the curvature of the Earth?  Does he have additional equipment to aid his vision?,
Astronomy,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/109_tested_skill_astronomy_2d89a600ff13925c.png""]","[""a moon is reflected in a black background""]",What causes this and which is the real one?,
Home Renovation,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/110_tested_skill_home_renovation_4ce07056031fabb2.png""]","[""a room full of books""]",How can I redesign this to make it look more professional?,
Home Renovation,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/300_tested_skill_tour_guide_800px-Faraglioni_capri_italy.png""]","[""capri, italy - capri, italy, capri, italy, capri, italy, ca""]",How to make this look more up to date?,
Home Renovation,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/112_tested_skill_home_renovation_0a15d0aae0dfcbc6.png""]","[""a couch in a room with blue walls and blue carpet""]",We found out the gender of our baby isn't the one we expected; what color should we repaint this room now?,
Home Renovation,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/113_tested_skill_home_renovation_187fef6c8b9b9429.png""]","[""a kitchen with wooden cabinets and a black sink""]",What can I do to make this room look more like a bachelor pad?,
Home Renovation,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/114_tested_skill_home_renovation_c25a2627ba1ea905.png""]","[""a woman is walking through a hallway in a house""]",My son's gotten quite tall; what's a good renovation for this room to make it a more comfortable space for him?,
Home Renovation,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/115_tested_skill_home_renovation_0a2cf53024e61c5c.png""]","[""an empty attic room with a skylight""]",How can I make this room into a she cave?,
Home Renovation,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/116_tested_skill_home_renovation_426e5191e02e84e0.png""]","[""a bed in a bedroom""]",My girlfriend's recently moved in with me; how can I make this room more accommodating for another person?,
Home Renovation,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/117_tested_skill_home_renovation_2167f3d29a0d02b5.png""]","[""a spiral staircase in a building""]","What can I use to spruce up this space? I'd like to make it more visually appealing, but also I need to make it more accessible for someone with mobility issues.",
Home Renovation,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/118_tested_skill_home_renovation_28f5d6ef901c54c2.png""]","[""a red brick building""]","What should I prioritize in addressing first, to fix this up?  What's it likely to cost me?",
Home Renovation,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/119_tested_skill_home_renovation_4531867a8d734094.png""]","[""a room that is being remodeled""]",This is my basement.  I would like to turn this into a family room with a TV area and a play area for the kids.  Do you have any suggestions for how to create two seperate leisure areas?,
Food Recipe,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/120_tested_skill_food_recipe_c5390634db10161d.png""]","[""spaghetti with meatballs and tomato sauce on a white plate""]",What is this and can I make it with a vegetable added some how?,
Food Recipe,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/121_tested_skill_food_recipe_bc044123beb88e94.png""]","[""fried shrimp on a blue and white plate""]",What ingredients are needed and how can I change the recipe to make it better?,
Food Recipe,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/271_tested_skill_who_to_call_33190992854_b6dd9e31cd_m.png""]","[""a woman sitting in a car smoking a cigarette""]",How many variations can there be and what is the ingredients of them?,
